"output_yield","year","reginal_zone","province_code"
324,2556,2,220
368,2556,2,230
356,2556,2,240
347,2556,3,250
327,2556,3,260
322,2556,3,270
344,2556,5,280
356,2556,5,290
338,2556,5,300
336,2556,4,310
340,2556,4,320
362,2556,4,330
290,2556,4,340
310,2556,6,350
297,2556,6,360
630,2556,7,370
545,2556,7,380
698,2556,14,390
671,2556,14,400
709,2556,14,410
656,2556,14,420
666,2556,15,430
730,2556,15,440
673,2556,15,450
746,2556,15,460
562,2556,18,470
366,2556,18,480
630,2556,18,490
298,2556,20,500
361,2556,20,510
396,2556,20,520
401,2556,19,530
459,2556,19,540
800,2556,19,550
700,2556,17,560
755,2556,17,570
614,2556,16,580
684,2556,16,590
711,2556,17,600
703,2556,16,610
552,2556,16,620
364,2556,21,630
331,2556,21,640
388,2556,21,650
313,2556,23,660
492,2556,23,670
308,2556,23,680
379,2556,23,690
451,2556,22,700
454,2556,22,710
512,2556,22,720
392,2556,22,730
352,2556,24,740
350,2556,24,750
366,2556,24,760
588,2557,12,10
555,2557,12,20
521,2557,12,30
604,2557,13,40
653,2557,13,50
379,2557,13,60
429,2557,9,70
581,2557,9,80
557,2557,9,90
577,2557,11,100
548,2557,11,110
615,2557,11,120
576,2557,10,130
586,2557,10,140
576,2557,8,150
610,2557,8,160
548,2557,8,170
372,2557,1,180
313,2557,1,190
352,2557,1,200
366,2557,1,210
272,2557,1,211
316,2557,2,220
